work_id,district_lgd,constituency_code,work_title,work_description,category,sanctioned_amount,released_amount,expenditure,recommended_date,sanction_date,completion_date,status,physical_progress_pct,has_uc,agency_name,location_name,latitude,longitude,is_scsp,is_tsp,payment_history
ESK-9001,DIST_101,201,"Community Health Sub-Centre, Ward 14",Construction of a six-bed sub-centre with outpatient room,HEALTH,4000000,4000000,5240000,2025-10-05,2025-11-20,,IN_PROGRESS,85,false,Public Works Department (PWD),Ward 14,28.7041,77.1025,false,false,MOBILISATION_ADVANCE:2025-12-05:600000|RUNNING_BILL:2026-02-12:1700000|RUNNING_BILL:2026-05-20:1700000
ESK-9002,DIST_104,204,Approach Road to Riverside Village,2.1 km bituminous approach road with side drains,ROADS_BRIDGES,14500000,3000000,2800000,2026-01-05,2026-02-14,,IN_PROGRESS,22,false,Irrigation & Flood Control Dept,Riverside,28.5355,77.3910,false,false,MOBILISATION_ADVANCE:2026-03-01:1500000|RUNNING_BILL:2026-06-10:1500000
ESK-9003,DIST_102,202,Primary School Additional Classroom Block,Two additional classrooms and a toilet block,EDUCATION,2800000,2800000,2750000,2024-11-02,2024-12-15,2025-11-20,COMPLETED,100,false,Municipal Corporation,Sector 9,28.4595,77.0266,false,false,MOBILISATION_ADVANCE:2025-01-10:400000|RUNNING_BILL:2025-05-18:1200000|FINAL_BILL:2025-11-25:1150000
ESK-9004,DIST_103,203,Village Drainage Line Phase II,Covered drain of 800 m along the main village road,SANITATION,3200000,0,0,2026-02-01,2026-05-20,,IN_PROGRESS,45,false,Rural Development Agency (DRDA),Panchayat Ward 3,28.6692,77.4538,false,false,
ESK-9005,DIST_101,203,Overhead Water Tank at Bhatti Colony,50 kilolitre overhead tank with feeder main,DRINKING_WATER,3600000,2400000,2310000,2024-01-22,2024-03-10,,IN_PROGRESS,48,false,Public Works Department (PWD),Bhatti Colony,28.7212,77.1501,true,false,MOBILISATION_ADVANCE:2024-04-15:500000|RUNNING_BILL:2025-02-20:900000|RUNNING_BILL:2026-07-15:1000000
ESK-9006,DIST_102,202,Anganwadi Centre Reconstruction,Reconstruction of a collapsed anganwadi centre,EDUCATION,5000000,4500000,1100000,2025-11-20,2026-01-05,,IN_PROGRESS,20,false,Municipal Corporation,Ward 22,28.4720,77.0410,false,true,MOBILISATION_ADVANCE:2026-01-20:500000|RUNNING_BILL:2026-03-15:2000000|RUNNING_BILL:2026-06-20:2000000
ESK-9007,DIST_103,203,Community Hall at Sector 7,Multipurpose community hall of 400 sq m,OTHER,2600000,0,0,2026-05-15,,,NOT_STARTED,0,false,Rural Development Agency (DRDA),Sector 7,28.6801,77.4402,false,false,
ESK-9008,DIST_104,204,Check Dam on Seasonal Nala,Masonry check dam with 1.8 m storage head,DRINKING_WATER,4200000,1800000,1750000,2025-10-20,2025-12-01,,IN_PROGRESS,35,false,Irrigation & Flood Control Dept,Nala Crossing,28.5190,77.3755,false,false,MOBILISATION_ADVANCE:2025-12-20:600000|RUNNING_BILL:2026-02-10:1200000
ESK-9009,DIST_101,201,Public Toilet Block near Bus Stand,Ten-seat public toilet block with water connection,SANITATION,1900000,1900000,1860000,2025-09-01,2025-10-12,2026-06-20,COMPLETED,55,true,Municipal Corporation,Bus Stand,28.6998,77.1140,false,false,MOBILISATION_ADVANCE:2025-11-05:300000|RUNNING_BILL:2026-02-10:800000|FINAL_BILL:2026-06-25:760000
ESK-9010,DIST_102,202,Library Building Renovation,Roof replacement and rewiring of the block library,EDUCATION,2500000,2500000,2430000,2025-06-25,2025-08-01,2026-05-10,COMPLETED,100,true,Public Works Department (PWD),Block HQ,28.4501,77.0188,false,false,MOBILISATION_ADVANCE:2025-09-10:400000|RUNNING_BILL:2026-01-15:1100000|FINAL_BILL:2026-05-15:1000000
ESK-9011,DIST_101,201,Ward Sanitation Improvement Works,Desilting and re-laying of ward drainage,SANITATION,3000000,1500000,1450000,2025-12-08,2026-01-20,,IN_PROGRESS,55,false,Rural Development Agency (DRDA),Ward 31,28.7115,77.1320,false,false,MOBILISATION_ADVANCE:2026-02-20:450000|RUNNING_BILL:2026-07-30:1050000
ESK-9012,DIST_103,203,Solar Street Lighting Phase I,Forty solar street lights on the approach road,OTHER,1800000,900000,880000,2026-03-18,2026-05-01,,IN_PROGRESS,50,false,Municipal Corporation,Approach Road,28.6605,77.4611,false,false,RUNNING_BILL:15-03-2026:900000|FINAL_BILL:2026-04-20:abc
ESK-9013,DIST_104,204,Cremation Ground Boundary Wall,Boundary wall and gate for the cremation ground,OTHER,1200000,0,0,2026-08-02,,,TENDERING,0,false,Public Works Department (PWD),Cremation Ground,28.5077,77.3640,false,false,
ESK-9014,DIST_102,202,Borewell with Submersible Pump,Borewell of 120 m with submersible pump and panel,DRINKING_WATER,1500000,750000,720000,,2026-04-11,,IN_PROGRESS,40,false,Irrigation & Flood Control Dept,Village Chowk,28.4388,77.0322,false,false,MOBILISATION_ADVANCE:2026-05-15:300000|RUNNING_BILL:2026-08-01:450000
